PRECIO,FECHA
3.42000,21-05-2015
3.42500,20-05-2015
3.36500,19-05-2015
3.23500,18-05-2015
3.24000,15-05-2015
3.25000,14-05-2015
3.21500,13-05-2015
3.17000,12-05-2015
3.25000,11-05-2015
3.31000,08-05-2015
3.30000,07-05-2015
3.26500,06-05-2015
3.30000,05-05-2015
3.35500,04-05-2015
3.21500,30-04-2015
3.33000,29-04-2015
3.54500,28-04-2015
3.58000,27-04-2015
3.53000,24-04-2015
3.52000,23-04-2015
3.43500,22-04-2015
3.45000,21-04-2015
3.46000,20-04-2015
3.42000,17-04-2015
3.53000,16-04-2015
3.65500,15-04-2015
3.61500,14-04-2015
3.52000,13-04-2015
3.34500,10-04-2015
3.38500,09-04-2015
3.30000,08-04-2015
3.33500,07-04-2015
3.36500,02-04-2015
3.42000,01-04-2015
3.42000,31-03-2015
3.41000,30-03-2015
3.23000,27-03-2015
3.25000,26-03-2015
3.34000,25-03-2015
3.33000,24-03-2015
3.33000,23-03-2015
3.33000,20-03-2015
3.32000,19-03-2015
3.29000,18-03-2015
3.32000,17-03-2015
3.36000,16-03-2015
3.33000,13-03-2015
3.27000,12-03-2015
3.29000,11-03-2015
3.16500,10-03-2015
3.06000,09-03-2015
3.07500,06-03-2015
3.04000,05-03-2015
2.89000,04-03-2015
2.88000,03-03-2015
2.96500,02-03-2015
2.97500,27-02-2015
2.77000,26-02-2015
2.72500,25-02-2015
2.77000,24-02-2015
2.76000,23-02-2015
2.73000,20-02-2015
2.73000,19-02-2015
2.73000,18-02-2015
2.73000,17-02-2015
2.72000,16-02-2015
2.78000,13-02-2015
2.80500,12-02-2015
2.84500,11-02-2015
2.75500,10-02-2015
2.65000,09-02-2015
2.75000,06-02-2015
2.75000,05-02-2015
2.70000,04-02-2015
2.66000,03-02-2015
2.57000,02-02-2015
2.65000,30-01-2015
2.54500,29-01-2015
2.51000,28-01-2015
2.44500,27-01-2015
2.51000,26-01-2015
2.40000,23-01-2015
2.42500,22-01-2015
2.35000,21-01-2015
