PRECIO,FECHA
2.00000,06-02-2012
1.94500,03-02-2012
1.92000,02-02-2012
1.91500,01-02-2012
1.87500,31-01-2012
1.89500,30-01-2012
1.89000,27-01-2012
1.99000,26-01-2012
2.03000,25-01-2012
1.92500,24-01-2012
1.90000,23-01-2012
1.88000,20-01-2012
1.85000,19-01-2012
1.80000,18-01-2012
1.78000,17-01-2012
1.74500,16-01-2012
1.71000,13-01-2012
1.71000,12-01-2012
1.73500,11-01-2012
1.79000,10-01-2012
1.75500,09-01-2012
1.77500,06-01-2012
1.76000,05-01-2012
1.80000,04-01-2012
1.79000,03-01-2012
1.83000,02-01-2012
1.74500,30-12-2011
1.73000,29-12-2011
1.71000,28-12-2011
1.68000,27-12-2011
1.66500,23-12-2011
1.66500,22-12-2011
1.63000,21-12-2011
1.66000,20-12-2011
1.64000,19-12-2011
1.64000,16-12-2011
1.73000,15-12-2011
1.72000,14-12-2011
1.75000,13-12-2011
1.76000,12-12-2011
1.87000,09-12-2011
1.81000,08-12-2011
1.86000,07-12-2011
1.83000,06-12-2011
1.89000,05-12-2011
1.86500,02-12-2011
1.84500,01-12-2011
1.84000,30-11-2011
1.78500,29-11-2011
1.77000,28-11-2011
1.70000,25-11-2011
1.68000,24-11-2011
1.73000,23-11-2011
1.76000,22-11-2011
1.74500,21-11-2011
1.80000,18-11-2011
1.82500,17-11-2011
1.84500,16-11-2011
1.85500,15-11-2011
1.89000,14-11-2011
1.94500,11-11-2011
1.90500,10-11-2011
1.93000,09-11-2011
1.95500,08-11-2011
1.95000,07-11-2011
1.98000,04-11-2011
2.02500,03-11-2011
2.09000,02-11-2011
2.10500,01-11-2011
2.16000,31-10-2011
2.15000,28-10-2011
2.15000,27-10-2011
2.09500,26-10-2011
2.10000,25-10-2011
2.16000,24-10-2011
2.09000,21-10-2011
2.02000,20-10-2011
2.07000,19-10-2011
2.08000,18-10-2011
2.09000,17-10-2011
2.13000,14-10-2011
2.14000,13-10-2011
2.18000,12-10-2011
2.13000,11-10-2011
2.10000,10-10-2011
