PRECIO,FECHA
1.83000,03-10-2012
1.77000,02-10-2012
1.76500,01-10-2012
1.73500,28-09-2012
1.74000,27-09-2012
1.75500,26-09-2012
1.78500,25-09-2012
1.77500,24-09-2012
1.77500,21-09-2012
1.79500,20-09-2012
1.82000,19-09-2012
1.84000,18-09-2012
1.85000,17-09-2012
1.87000,14-09-2012
1.86000,13-09-2012
1.90000,12-09-2012
1.89500,11-09-2012
1.87000,10-09-2012
1.84000,07-09-2012
1.82000,06-09-2012
1.81500,05-09-2012
1.82500,04-09-2012
1.89000,03-09-2012
1.88000,31-08-2012
1.85500,30-08-2012
1.86500,29-08-2012
1.84500,28-08-2012
1.86000,27-08-2012
1.86000,24-08-2012
1.85500,23-08-2012
1.83500,22-08-2012
1.84000,21-08-2012
1.84000,20-08-2012
1.85500,17-08-2012
1.84000,16-08-2012
1.79000,15-08-2012
1.77000,14-08-2012
1.77000,13-08-2012
1.77000,10-08-2012
1.75000,09-08-2012
1.75000,08-08-2012
1.74500,07-08-2012
1.71000,06-08-2012
1.70000,03-08-2012
1.69500,02-08-2012
1.72000,01-08-2012
1.70000,31-07-2012
1.64000,30-07-2012
1.65000,27-07-2012
1.60000,26-07-2012
1.50000,25-07-2012
1.48000,24-07-2012
1.50000,23-07-2012
1.54000,20-07-2012
1.53000,19-07-2012
1.52500,18-07-2012
1.50000,17-07-2012
1.50000,16-07-2012
1.52000,13-07-2012
1.50000,12-07-2012
1.54000,11-07-2012
1.56000,10-07-2012
1.55500,09-07-2012
1.51500,06-07-2012
1.50500,05-07-2012
1.54500,04-07-2012
1.53500,03-07-2012
1.54500,02-07-2012
1.52000,29-06-2012
1.42500,28-06-2012
1.45000,27-06-2012
1.48500,26-06-2012
1.53000,25-06-2012
1.54000,22-06-2012
1.50500,21-06-2012
1.51000,20-06-2012
1.48000,19-06-2012
1.46500,18-06-2012
1.42500,15-06-2012
1.49000,14-06-2012
1.49000,13-06-2012
1.47500,12-06-2012
1.50000,11-06-2012
1.51000,08-06-2012
1.50500,07-06-2012
1.46000,06-06-2012
1.36500,05-06-2012
