PRECIO,FECHA
3.07500,18-09-2015
3.22000,17-09-2015
3.17500,16-09-2015
2.84000,15-09-2015
2.70500,14-09-2015
2.81000,11-09-2015
2.85000,10-09-2015
2.88000,09-09-2015
2.70000,08-09-2015
2.68500,07-09-2015
2.71000,04-09-2015
2.82000,03-09-2015
2.80500,02-09-2015
2.83500,01-09-2015
2.93500,31-08-2015
2.87500,28-08-2015
2.98000,27-08-2015
2.77000,26-08-2015
2.82000,25-08-2015
2.67500,24-08-2015
2.90000,21-08-2015
2.98000,20-08-2015
3.12500,19-08-2015
3.19500,18-08-2015
3.13000,17-08-2015
3.14500,14-08-2015
3.17000,13-08-2015
3.07500,12-08-2015
3.24000,11-08-2015
3.30000,10-08-2015
3.26000,07-08-2015
3.33000,06-08-2015
3.39000,05-08-2015
3.31500,04-08-2015
3.39000,03-08-2015
3.29000,31-07-2015
3.29000,30-07-2015
3.32000,29-07-2015
3.24500,28-07-2015
3.23500,27-07-2015
3.37000,24-07-2015
3.37000,23-07-2015
3.38500,22-07-2015
3.35500,21-07-2015
3.35500,20-07-2015
3.30000,17-07-2015
3.30000,16-07-2015
3.17000,15-07-2015
3.19000,14-07-2015
3.15000,13-07-2015
3.07000,10-07-2015
3.06000,09-07-2015
2.87000,08-07-2015
2.93500,07-07-2015
3.11000,06-07-2015
3.09500,03-07-2015
3.09500,02-07-2015
3.18000,01-07-2015
3.06500,30-06-2015
3.17000,29-06-2015
3.38000,26-06-2015
3.38500,25-06-2015
3.34000,24-06-2015
3.42000,23-06-2015
3.23000,22-06-2015
3.20500,19-06-2015
3.08500,18-06-2015
3.06000,17-06-2015
3.06000,16-06-2015
3.00000,15-06-2015
3.04000,12-06-2015
3.16000,11-06-2015
3.11500,10-06-2015
3.09000,09-06-2015
2.95500,08-06-2015
2.96500,05-06-2015
2.98000,04-06-2015
3.06000,03-06-2015
3.19000,02-06-2015
3.25000,01-06-2015
3.31500,29-05-2015
3.43000,28-05-2015
3.38000,27-05-2015
3.33000,26-05-2015
3.35000,25-05-2015
3.38000,22-05-2015
3.42000,21-05-2015
