PRECIO,FECHA
2.48000,11-02-2011
2.48000,10-02-2011
2.56000,09-02-2011
2.56000,08-02-2011
2.59000,07-02-2011
2.47000,04-02-2011
2.47000,03-02-2011
2.50000,02-02-2011
2.50500,01-02-2011
2.42500,31-01-2011
2.46000,28-01-2011
2.50500,27-01-2011
2.55000,26-01-2011
2.40500,25-01-2011
2.43000,24-01-2011
2.32000,21-01-2011
2.30500,20-01-2011
2.29500,19-01-2011
2.36000,18-01-2011
2.34500,17-01-2011
2.28500,14-01-2011
2.32000,13-01-2011
2.31500,12-01-2011
2.29000,11-01-2011
2.27000,10-01-2011
2.35000,07-01-2011
2.40000,06-01-2011
2.41000,05-01-2011
2.40500,04-01-2011
2.38500,03-01-2011
2.38000,30-12-2010
2.40000,29-12-2010
2.36000,28-12-2010
2.38000,27-12-2010
2.46500,23-12-2010
2.45000,22-12-2010
2.44500,21-12-2010
2.41000,20-12-2010
2.38000,17-12-2010
2.36500,16-12-2010
2.37500,15-12-2010
2.39000,14-12-2010
2.38500,13-12-2010
2.39000,10-12-2010
2.39000,09-12-2010
2.39000,08-12-2010
2.39000,07-12-2010
2.41000,06-12-2010
2.42000,03-12-2010
2.35000,02-12-2010
2.33000,01-12-2010
2.25500,30-11-2010
2.35000,29-11-2010
2.38000,26-11-2010
2.39000,25-11-2010
2.38500,24-11-2010
2.39000,23-11-2010
2.46000,22-11-2010
2.56000,19-11-2010
2.56000,18-11-2010
2.54000,17-11-2010
2.60000,15-11-2010
2.55000,12-11-2010
2.55000,11-11-2010
2.59000,10-11-2010
2.64000,09-11-2010
2.61000,08-11-2010
2.63000,05-11-2010
2.67500,04-11-2010
2.70000,03-11-2010
2.67500,02-11-2010
2.60000,01-11-2010
2.61000,29-10-2010
2.63000,28-10-2010
2.57000,27-10-2010
2.57000,26-10-2010
2.50000,25-10-2010
2.49000,22-10-2010
2.53500,21-10-2010
2.47000,20-10-2010
2.41000,19-10-2010
2.44500,18-10-2010
2.40000,15-10-2010
2.32500,14-10-2010
