PRECIO,FECHA
2.85500,15-01-2016
3.04000,14-01-2016
3.12500,13-01-2016
3.04000,12-01-2016
3.02000,11-01-2016
3.10000,08-01-2016
3.16000,07-01-2016
3.23500,06-01-2016
3.32000,05-01-2016
3.27500,04-01-2016
3.49500,31-12-2015
3.55500,30-12-2015
3.46500,29-12-2015
3.42500,28-12-2015
3.43500,24-12-2015
3.45000,23-12-2015
3.34000,22-12-2015
3.36500,21-12-2015
3.46000,18-12-2015
3.58500,17-12-2015
3.39000,16-12-2015
3.38000,15-12-2015
3.34000,14-12-2015
3.47000,11-12-2015
3.55500,10-12-2015
3.56000,09-12-2015
3.42000,08-12-2015
3.58000,07-12-2015
3.52500,04-12-2015
3.50000,03-12-2015
3.74500,02-12-2015
3.69000,01-12-2015
3.71500,30-11-2015
3.59500,27-11-2015
3.57500,26-11-2015
3.58000,25-11-2015
3.52500,24-11-2015
3.59500,23-11-2015
3.60000,20-11-2015
3.48000,19-11-2015
3.54000,18-11-2015
3.63500,17-11-2015
3.58500,16-11-2015
3.52000,13-11-2015
3.33500,12-11-2015
3.59000,11-11-2015
3.41500,10-11-2015
3.41500,09-11-2015
3.50500,06-11-2015
3.33500,05-11-2015
3.36500,04-11-2015
3.39000,03-11-2015
3.30000,02-11-2015
3.19000,30-10-2015
3.25000,29-10-2015
3.20000,28-10-2015
3.22000,27-10-2015
3.35000,26-10-2015
3.38500,23-10-2015
3.26500,22-10-2015
3.13000,21-10-2015
3.28000,20-10-2015
3.24000,19-10-2015
3.24500,16-10-2015
3.16000,15-10-2015
3.08000,14-10-2015
3.11000,13-10-2015
3.16000,12-10-2015
3.11000,09-10-2015
3.11000,08-10-2015
3.04000,07-10-2015
3.12000,06-10-2015
3.10000,05-10-2015
2.96000,02-10-2015
2.92000,01-10-2015
2.89500,30-09-2015
2.80500,29-09-2015
2.78500,28-09-2015
2.90000,25-09-2015
2.85500,24-09-2015
2.94500,23-09-2015
3.00000,22-09-2015
3.18500,21-09-2015
3.07500,18-09-2015
