PRECIO,FECHA
2.20000,31-01-2013
2.25500,30-01-2013
2.29000,29-01-2013
2.33000,28-01-2013
2.35000,25-01-2013
2.32500,24-01-2013
2.34000,23-01-2013
2.38500,22-01-2013
2.41000,21-01-2013
2.32000,18-01-2013
2.29500,17-01-2013
2.22000,16-01-2013
2.22000,15-01-2013
2.24000,14-01-2013
2.26000,11-01-2013
2.26500,10-01-2013
2.29500,09-01-2013
2.30000,08-01-2013
2.26000,07-01-2013
2.24500,04-01-2013
2.17000,03-01-2013
2.19000,02-01-2013
2.13000,31-12-2012
2.12500,28-12-2012
2.05000,27-12-2012
2.11000,24-12-2012
2.14000,21-12-2012
2.17000,20-12-2012
2.16000,19-12-2012
2.08000,18-12-2012
2.10000,17-12-2012
2.08000,14-12-2012
2.06000,13-12-2012
2.10000,12-12-2012
2.07500,11-12-2012
2.02500,10-12-2012
1.99000,07-12-2012
1.93000,06-12-2012
1.93000,05-12-2012
1.93500,04-12-2012
1.90000,03-12-2012
1.86000,30-11-2012
1.94000,29-11-2012
1.88500,28-11-2012
1.87000,27-11-2012
1.88000,26-11-2012
1.89000,23-11-2012
1.88000,22-11-2012
1.85500,21-11-2012
1.83000,20-11-2012
1.83000,19-11-2012
1.84000,16-11-2012
1.86000,15-11-2012
1.84000,14-11-2012
1.80500,13-11-2012
1.82000,12-11-2012
1.84000,09-11-2012
1.82500,08-11-2012
1.87000,07-11-2012
1.89000,06-11-2012
1.92500,05-11-2012
1.91000,02-11-2012
1.91000,01-11-2012
1.88000,31-10-2012
1.87000,30-10-2012
1.85500,29-10-2012
1.85500,26-10-2012
1.86000,25-10-2012
1.85500,24-10-2012
1.84500,23-10-2012
1.85500,22-10-2012
1.86000,19-10-2012
1.90000,18-10-2012
1.90000,17-10-2012
1.89000,16-10-2012
1.91000,15-10-2012
1.90500,12-10-2012
1.91000,11-10-2012
1.92000,10-10-2012
1.90000,09-10-2012
1.93500,08-10-2012
1.93000,05-10-2012
1.88000,04-10-2012
1.83000,03-10-2012
