PRECIO,FECHA
1.89500,23-09-2014
1.87500,22-09-2014
1.90000,19-09-2014
1.90000,18-09-2014
1.89000,17-09-2014
1.89500,16-09-2014
1.90500,15-09-2014
1.95500,12-09-2014
1.95500,11-09-2014
2.00000,10-09-2014
2.00000,09-09-2014
2.00000,08-09-2014
1.97500,05-09-2014
1.81000,04-09-2014
1.70500,03-09-2014
1.71000,02-09-2014
1.73000,01-09-2014
1.72500,29-08-2014
1.74500,28-08-2014
1.69500,27-08-2014
1.63500,26-08-2014
1.62000,25-08-2014
1.62000,21-08-2014
1.61000,20-08-2014
1.60000,19-08-2014
1.62000,18-08-2014
1.60000,15-08-2014
1.62500,14-08-2014
1.62500,13-08-2014
1.59000,12-08-2014
1.63000,11-08-2014
1.65500,08-08-2014
1.65500,07-08-2014
1.67000,06-08-2014
1.66000,05-08-2014
1.70000,04-08-2014
1.63500,01-08-2014
1.59500,31-07-2014
1.64000,30-07-2014
1.69500,29-07-2014
1.68500,28-07-2014
1.71000,25-07-2014
1.71000,24-07-2014
1.69500,23-07-2014
1.70000,22-07-2014
1.68500,21-07-2014
1.73000,18-07-2014
1.75000,17-07-2014
1.78000,16-07-2014
1.76000,15-07-2014
1.80000,14-07-2014
1.73500,11-07-2014
1.88500,10-07-2014
1.91500,09-07-2014
1.87000,08-07-2014
1.90000,07-07-2014
1.89500,04-07-2014
1.88000,03-07-2014
1.86000,02-07-2014
1.90500,01-07-2014
1.91000,30-06-2014
1.94000,27-06-2014
1.97500,26-06-2014
1.93500,25-06-2014
1.93500,24-06-2014
1.94000,23-06-2014
1.91500,20-06-2014
1.92000,19-06-2014
1.92500,18-06-2014
1.91000,17-06-2014
1.93000,16-06-2014
1.97000,13-06-2014
1.91500,12-06-2014
1.97000,11-06-2014
2.02000,10-06-2014
2.04000,09-06-2014
1.99500,06-06-2014
1.97500,05-06-2014
2.06000,04-06-2014
2.11000,03-06-2014
2.12000,02-06-2014
2.11500,30-05-2014
2.11000,29-05-2014
2.13000,28-05-2014
2.15000,27-05-2014
2.12000,26-05-2014
