PRECIO,FECHA
2.50000,16-06-2010
2.52000,15-06-2010
2.57000,14-06-2010
2.47500,11-06-2010
2.50500,10-06-2010
2.32000,09-06-2010
2.30000,08-06-2010
2.33000,07-06-2010
2.39000,04-06-2010
2.40500,03-06-2010
2.38000,02-06-2010
2.40000,01-06-2010
2.42000,31-05-2010
2.45500,28-05-2010
2.47000,27-05-2010
2.38000,26-05-2010
2.40000,25-05-2010
2.52500,24-05-2010
2.52000,21-05-2010
2.43500,20-05-2010
2.48000,19-05-2010
2.55000,18-05-2010
2.41500,17-05-2010
2.46000,14-05-2010
2.57000,13-05-2010
2.65000,12-05-2010
2.56000,11-05-2010
2.54000,10-05-2010
2.38000,07-05-2010
2.46000,06-05-2010
2.52000,05-05-2010
2.54000,04-05-2010
2.73000,03-05-2010
2.77500,30-04-2010
2.82000,29-04-2010
2.67500,28-04-2010
2.77000,27-04-2010
2.88500,26-04-2010
2.95000,23-04-2010
2.95500,22-04-2010
3.08000,21-04-2010
3.03500,20-04-2010
2.94000,19-04-2010
2.84000,16-04-2010
2.87000,15-04-2010
2.84000,14-04-2010
2.77000,13-04-2010
2.83500,12-04-2010
2.86500,09-04-2010
2.80000,08-04-2010
2.77500,07-04-2010
2.68000,06-04-2010
2.66500,01-04-2010
2.68000,31-03-2010
2.66000,30-03-2010
2.67500,29-03-2010
2.73000,26-03-2010
2.78000,25-03-2010
2.75000,24-03-2010
2.67000,23-03-2010
2.68500,22-03-2010
2.65000,19-03-2010
2.58000,18-03-2010
2.58500,17-03-2010
2.52500,16-03-2010
2.35000,15-03-2010
2.26000,12-03-2010
2.20500,11-03-2010
2.21500,10-03-2010
2.09000,09-03-2010
2.15000,08-03-2010
2.55000,05-03-2010
2.57000,04-03-2010
2.81000,03-03-2010
2.63000,02-03-2010
2.62000,01-03-2010
2.64500,26-02-2010
2.57500,25-02-2010
2.56500,24-02-2010
2.61000,23-02-2010
2.65000,22-02-2010
2.70000,19-02-2010
2.73000,18-02-2010
2.73000,17-02-2010
2.68500,16-02-2010
