PRECIO,FECHA
2.12000,26-05-2014
2.09500,23-05-2014
2.08500,22-05-2014
2.05500,21-05-2014
2.07500,20-05-2014
2.10500,19-05-2014
2.08500,16-05-2014
2.08500,15-05-2014
2.10000,14-05-2014
2.11000,13-05-2014
2.10500,12-05-2014
2.10000,09-05-2014
2.10500,08-05-2014
2.12000,07-05-2014
2.06000,06-05-2014
2.09500,05-05-2014
2.11500,02-05-2014
2.12000,30-04-2014
2.08000,29-04-2014
2.06000,28-04-2014
2.10000,25-04-2014
2.13000,24-04-2014
2.12500,23-04-2014
2.13500,22-04-2014
2.15000,17-04-2014
2.07500,16-04-2014
2.05000,15-04-2014
2.07000,14-04-2014
2.12000,11-04-2014
2.19000,10-04-2014
2.24000,09-04-2014
2.21000,08-04-2014
2.27000,07-04-2014
2.20000,04-04-2014
2.18000,03-04-2014
2.16500,02-04-2014
2.18000,01-04-2014
2.19000,31-03-2014
2.17000,28-03-2014
2.11500,27-03-2014
2.08500,26-03-2014
2.09000,25-03-2014
2.09000,24-03-2014
2.19000,21-03-2014
2.08000,20-03-2014
2.16500,19-03-2014
2.20000,18-03-2014
2.18000,17-03-2014
2.19000,14-03-2014
2.20500,13-03-2014
2.18000,12-03-2014
2.25000,11-03-2014
2.34000,10-03-2014
2.40000,07-03-2014
2.44000,06-03-2014
2.45000,05-03-2014
2.48000,04-03-2014
2.39500,03-03-2014
2.43000,28-02-2014
2.42000,27-02-2014
2.46000,26-02-2014
2.55000,25-02-2014
2.57500,24-02-2014
2.61500,21-02-2014
2.55000,20-02-2014
2.63000,19-02-2014
2.56000,18-02-2014
2.56000,17-02-2014
2.58500,14-02-2014
2.60000,13-02-2014
2.54000,12-02-2014
2.60500,11-02-2014
2.67000,10-02-2014
2.76500,07-02-2014
2.74000,06-02-2014
2.68000,05-02-2014
2.68500,04-02-2014
2.66000,03-02-2014
2.72500,31-01-2014
2.76500,30-01-2014
2.77000,29-01-2014
2.78000,28-01-2014
2.71500,27-01-2014
