PRECIO,FECHA
2.04000,07-10-2011
2.02000,06-10-2011
1.92000,05-10-2011
1.92000,04-10-2011
1.95000,03-10-2011
1.94000,30-09-2011
1.97000,29-09-2011
1.94000,28-09-2011
2.01000,27-09-2011
1.96000,26-09-2011
1.94000,23-09-2011
1.90500,22-09-2011
1.94500,21-09-2011
2.04500,20-09-2011
2.10000,19-09-2011
2.17000,16-09-2011
2.23000,15-09-2011
2.20000,14-09-2011
2.12500,13-09-2011
2.14000,12-09-2011
2.21000,09-09-2011
2.31000,08-09-2011
2.25000,07-09-2011
2.23000,06-09-2011
2.23000,05-09-2011
2.28500,02-09-2011
2.38000,01-09-2011
2.39000,31-08-2011
2.35000,30-08-2011
2.36000,29-08-2011
2.31000,26-08-2011
2.33500,25-08-2011
2.29500,24-08-2011
2.25000,23-08-2011
2.24000,22-08-2011
2.20000,19-08-2011
2.26000,18-08-2011
2.34000,17-08-2011
2.31500,16-08-2011
2.36500,15-08-2011
2.30000,12-08-2011
2.20000,11-08-2011
2.09000,10-08-2011
2.06000,09-08-2011
2.15000,08-08-2011
2.26000,05-08-2011
2.22500,04-08-2011
2.31000,03-08-2011
2.33000,02-08-2011
2.41500,01-08-2011
2.50500,29-07-2011
2.55500,28-07-2011
2.57000,27-07-2011
2.60000,26-07-2011
2.59500,25-07-2011
2.64000,22-07-2011
2.57500,21-07-2011
2.58000,20-07-2011
2.54000,19-07-2011
2.47500,18-07-2011
2.54000,15-07-2011
2.56500,14-07-2011
2.59000,13-07-2011
2.55000,12-07-2011
2.56500,11-07-2011
2.65000,08-07-2011
2.73500,07-07-2011
2.70000,06-07-2011
2.79000,05-07-2011
2.78000,04-07-2011
2.71000,01-07-2011
2.72500,30-06-2011
2.67000,29-06-2011
2.62000,28-06-2011
2.49500,27-06-2011
2.45000,24-06-2011
2.48000,23-06-2011
2.49000,22-06-2011
2.49000,21-06-2011
2.52000,20-06-2011
2.52000,17-06-2011
2.48000,16-06-2011
2.49500,15-06-2011
2.50000,14-06-2011
2.51000,13-06-2011
