PRECIO,FECHA
2.35000,21-01-2015
2.31000,20-01-2015
2.38000,19-01-2015
2.36000,16-01-2015
2.30500,15-01-2015
2.29500,14-01-2015
2.28000,13-01-2015
2.23500,12-01-2015
2.15500,09-01-2015
2.14000,08-01-2015
2.09500,07-01-2015
2.10500,06-01-2015
2.08000,05-01-2015
2.15000,02-01-2015
2.07000,31-12-2014
2.06000,30-12-2014
2.06500,29-12-2014
2.13000,24-12-2014
2.11500,23-12-2014
2.06000,22-12-2014
2.01000,19-12-2014
2.01500,18-12-2014
1.78000,17-12-2014
1.75000,16-12-2014
1.71500,15-12-2014
1.77500,12-12-2014
1.79000,11-12-2014
1.75500,10-12-2014
1.77500,09-12-2014
1.79000,08-12-2014
1.80000,05-12-2014
1.77000,04-12-2014
1.80000,03-12-2014
1.77000,02-12-2014
1.77500,01-12-2014
1.77000,28-11-2014
1.78500,27-11-2014
1.72000,26-11-2014
1.72500,25-11-2014
1.74500,24-11-2014
1.71000,21-11-2014
1.65000,20-11-2014
1.70000,19-11-2014
1.70000,18-11-2014
1.73000,17-11-2014
1.65500,14-11-2014
1.69500,13-11-2014
1.69500,12-11-2014
1.67000,11-11-2014
1.66500,10-11-2014
1.66500,07-11-2014
1.68500,06-11-2014
1.68500,05-11-2014
1.67500,04-11-2014
1.68500,03-11-2014
1.72500,31-10-2014
1.61500,30-10-2014
1.60500,29-10-2014
1.62500,28-10-2014
1.59000,27-10-2014
1.66000,24-10-2014
1.59500,23-10-2014
1.60500,22-10-2014
1.58500,21-10-2014
1.52000,20-10-2014
1.53500,17-10-2014
1.50000,16-10-2014
1.54500,15-10-2014
1.58000,14-10-2014
1.58000,13-10-2014
1.56000,10-10-2014
1.57500,09-10-2014
1.61000,08-10-2014
1.69500,07-10-2014
1.69000,06-10-2014
1.68500,03-10-2014
1.70000,02-10-2014
1.80000,01-10-2014
1.77500,30-09-2014
1.78000,29-09-2014
1.82000,26-09-2014
1.82500,25-09-2014
1.89000,24-09-2014
1.89500,23-09-2014
