PRECIO,FECHA
2.52500,31-05-2013
2.57000,30-05-2013
2.60000,29-05-2013
2.58000,28-05-2013
2.54000,27-05-2013
2.45000,24-05-2013
2.49000,23-05-2013
2.51000,22-05-2013
2.42500,21-05-2013
2.39000,20-05-2013
2.44000,17-05-2013
2.49500,16-05-2013
2.44000,15-05-2013
2.37000,14-05-2013
2.37500,13-05-2013
2.30000,10-05-2013
2.21500,09-05-2013
2.20000,08-05-2013
2.15000,07-05-2013
2.08500,06-05-2013
2.04500,03-05-2013
1.98500,02-05-2013
2.00000,30-04-2013
2.00500,29-04-2013
1.99500,26-04-2013
1.97000,25-04-2013
1.95500,24-04-2013
1.94500,23-04-2013
1.90000,22-04-2013
1.91500,19-04-2013
1.92500,18-04-2013
1.93000,17-04-2013
1.98000,16-04-2013
1.97500,15-04-2013
2.00500,12-04-2013
2.05000,11-04-2013
2.04000,10-04-2013
1.98000,09-04-2013
2.00000,08-04-2013
1.98500,05-04-2013
2.00000,04-04-2013
2.08000,03-04-2013
2.19000,02-04-2013
2.21000,28-03-2013
2.21500,27-03-2013
2.24500,26-03-2013
2.23000,25-03-2013
2.26500,22-03-2013
2.27500,21-03-2013
2.26500,20-03-2013
2.27000,19-03-2013
2.28000,18-03-2013
2.28500,15-03-2013
2.30500,14-03-2013
2.28500,13-03-2013
2.29000,12-03-2013
2.33000,11-03-2013
2.29000,08-03-2013
2.30500,07-03-2013
2.31500,06-03-2013
2.29500,05-03-2013
2.30000,04-03-2013
2.33000,01-03-2013
2.37000,28-02-2013
2.36000,27-02-2013
2.31000,26-02-2013
2.31500,25-02-2013
2.30500,22-02-2013
2.29000,21-02-2013
2.28000,20-02-2013
2.26500,19-02-2013
2.28000,18-02-2013
2.31000,15-02-2013
2.33000,14-02-2013
2.31500,13-02-2013
2.33500,12-02-2013
2.29500,11-02-2013
2.32000,08-02-2013
2.31000,07-02-2013
2.35500,06-02-2013
2.31000,05-02-2013
2.21500,04-02-2013
2.27000,01-02-2013
2.20000,31-01-2013
