PRECIO,FECHA
2.68500,16-02-2010
2.72000,15-02-2010
2.70500,12-02-2010
2.72000,11-02-2010
2.74500,10-02-2010
2.69500,09-02-2010
2.70000,08-02-2010
2.73000,05-02-2010
2.80000,04-02-2010
2.94000,03-02-2010
3.01000,02-02-2010
3.02000,01-02-2010
2.95500,29-01-2010
2.96000,28-01-2010
2.96500,27-01-2010
2.97500,26-01-2010
2.98500,25-01-2010
3.04000,22-01-2010
3.05000,21-01-2010
3.05000,20-01-2010
3.13500,19-01-2010
3.17500,18-01-2010
3.10500,15-01-2010
3.05000,14-01-2010
2.96500,13-01-2010
3.01000,12-01-2010
3.03000,11-01-2010
3.00000,08-01-2010
2.99000,07-01-2010
2.96000,06-01-2010
2.96000,05-01-2010
2.78500,04-01-2010
