PRECIO,FECHA
2.55500,10-06-2011
2.65000,09-06-2011
2.63000,08-06-2011
2.66500,07-06-2011
2.61000,06-06-2011
2.64000,03-06-2011
2.66500,02-06-2011
2.70500,01-06-2011
2.75000,31-05-2011
2.68000,30-05-2011
2.65000,27-05-2011
2.66000,26-05-2011
2.67000,25-05-2011
2.64000,24-05-2011
2.62000,23-05-2011
2.66500,20-05-2011
2.66500,19-05-2011
2.65000,18-05-2011
2.61500,17-05-2011
2.67000,16-05-2011
2.68500,13-05-2011
2.68000,12-05-2011
2.67000,11-05-2011
2.72000,10-05-2011
2.69000,09-05-2011
2.80000,06-05-2011
2.76500,05-05-2011
2.80000,04-05-2011
2.83000,03-05-2011
2.84000,02-05-2011
2.83000,29-04-2011
2.83500,28-04-2011
2.80000,27-04-2011
2.77000,26-04-2011
2.76000,21-04-2011
2.74000,20-04-2011
2.64000,19-04-2011
2.65000,18-04-2011
2.73500,15-04-2011
2.75000,14-04-2011
2.78000,13-04-2011
2.75000,12-04-2011
2.72000,11-04-2011
2.74000,08-04-2011
2.71500,07-04-2011
2.67000,06-04-2011
2.63000,05-04-2011
2.69500,04-04-2011
2.69000,01-04-2011
2.63000,31-03-2011
2.65500,30-03-2011
2.63000,29-03-2011
2.60000,28-03-2011
2.52000,25-03-2011
2.50000,24-03-2011
2.44000,23-03-2011
2.43000,22-03-2011
2.48500,21-03-2011
2.46500,18-03-2011
2.38500,17-03-2011
2.34500,16-03-2011
2.35500,15-03-2011
2.42000,14-03-2011
2.43000,11-03-2011
2.45000,10-03-2011
2.48500,09-03-2011
2.49500,08-03-2011
2.48000,07-03-2011
2.37500,04-03-2011
2.39000,03-03-2011
2.38000,02-03-2011
2.39500,01-03-2011
2.48000,28-02-2011
2.45000,25-02-2011
2.36500,24-02-2011
2.39500,23-02-2011
2.38500,22-02-2011
2.40000,21-02-2011
2.44000,18-02-2011
2.44000,17-02-2011
2.46500,16-02-2011
2.47000,15-02-2011
2.48500,14-02-2011
2.48000,11-02-2011
