PRECIO,FECHA
2.75000,24-01-2014
2.90000,23-01-2014
2.89500,22-01-2014
2.93500,21-01-2014
2.97500,20-01-2014
3.04000,17-01-2014
3.01000,16-01-2014
3.01000,15-01-2014
2.99000,14-01-2014
2.93500,13-01-2014
2.92000,10-01-2014
2.94000,09-01-2014
2.89500,08-01-2014
2.81500,07-01-2014
2.77000,06-01-2014
2.77000,03-01-2014
2.75500,02-01-2014
2.72500,31-12-2013
2.75500,30-12-2013
2.77000,27-12-2013
2.77000,24-12-2013
2.75500,23-12-2013
2.76500,20-12-2013
2.76000,19-12-2013
2.73000,18-12-2013
2.75000,17-12-2013
2.68500,16-12-2013
2.68000,13-12-2013
2.71000,12-12-2013
2.78500,11-12-2013
2.85500,10-12-2013
2.85500,09-12-2013
2.78500,06-12-2013
2.77000,05-12-2013
2.80500,04-12-2013
2.87000,03-12-2013
2.96000,02-12-2013
2.99000,29-11-2013
2.99000,28-11-2013
2.99000,27-11-2013
2.95500,26-11-2013
3.02000,25-11-2013
2.93500,22-11-2013
2.87000,21-11-2013
2.84500,20-11-2013
2.96500,19-11-2013
2.99000,18-11-2013
2.97500,15-11-2013
3.04000,14-11-2013
3.01000,13-11-2013
3.08000,12-11-2013
3.12000,11-11-2013
3.07500,08-11-2013
3.12500,07-11-2013
3.12500,06-11-2013
3.05000,05-11-2013
3.00000,04-11-2013
2.92000,01-11-2013
2.96000,31-10-2013
2.90000,30-10-2013
2.89500,29-10-2013
2.89000,28-10-2013
2.86500,25-10-2013
2.89000,24-10-2013
2.90000,23-10-2013
2.93500,22-10-2013
2.95500,21-10-2013
2.92500,18-10-2013
2.87000,17-10-2013
2.93500,16-10-2013
3.00000,15-10-2013
2.80000,14-10-2013
2.81500,11-10-2013
2.78000,10-10-2013
2.79000,09-10-2013
2.78500,08-10-2013
2.79000,07-10-2013
2.79000,04-10-2013
2.82000,03-10-2013
2.77000,02-10-2013
2.73500,01-10-2013
2.58000,30-09-2013
