PRECIO,FECHA
2.63000,27-09-2013
2.57500,26-09-2013
2.52000,25-09-2013
2.52000,24-09-2013
2.51500,23-09-2013
2.48500,20-09-2013
2.52000,19-09-2013
2.47000,18-09-2013
2.49500,17-09-2013
2.49500,16-09-2013
2.51500,13-09-2013
2.52500,12-09-2013
2.51000,11-09-2013
2.48000,10-09-2013
2.42500,09-09-2013
2.42500,06-09-2013
2.40500,05-09-2013
2.40000,04-09-2013
2.42500,03-09-2013
2.40500,02-09-2013
2.38000,30-08-2013
2.40000,29-08-2013
2.40000,28-08-2013
2.38500,27-08-2013
2.38000,26-08-2013
2.40000,23-08-2013
2.42500,22-08-2013
2.39500,21-08-2013
2.38500,20-08-2013
2.45500,19-08-2013
2.42500,16-08-2013
2.47000,15-08-2013
2.54000,14-08-2013
2.51000,13-08-2013
2.46500,12-08-2013
2.46500,09-08-2013
2.50000,08-08-2013
2.50000,07-08-2013
2.41000,06-08-2013
2.42000,05-08-2013
2.45000,02-08-2013
2.42500,01-08-2013
2.42500,31-07-2013
2.34500,30-07-2013
2.40000,29-07-2013
2.33000,26-07-2013
2.35000,25-07-2013
2.33500,24-07-2013
2.38000,23-07-2013
2.32500,22-07-2013
2.33000,19-07-2013
2.39000,18-07-2013
2.34000,17-07-2013
2.46500,16-07-2013
2.49500,15-07-2013
2.41000,12-07-2013
2.50000,11-07-2013
2.44000,10-07-2013
2.43000,09-07-2013
2.41500,08-07-2013
2.40000,05-07-2013
2.39500,04-07-2013
2.36000,03-07-2013
2.39500,02-07-2013
2.37000,01-07-2013
2.37500,28-06-2013
2.44000,27-06-2013
2.43000,26-06-2013
2.35500,25-06-2013
2.32000,24-06-2013
2.35000,21-06-2013
2.36500,20-06-2013
2.44000,19-06-2013
2.38000,18-06-2013
2.32500,17-06-2013
2.34500,14-06-2013
2.30500,13-06-2013
2.36000,12-06-2013
2.33500,11-06-2013
2.34000,10-06-2013
2.36000,07-06-2013
2.39500,06-06-2013
2.49500,05-06-2013
2.51000,04-06-2013
2.52000,03-06-2013
2.52500,31-05-2013
