PRECIO,FECHA
2.32500,14-10-2010
2.29000,13-10-2010
2.24500,12-10-2010
2.29000,11-10-2010
2.29500,08-10-2010
2.33000,07-10-2010
2.30500,06-10-2010
2.31000,05-10-2010
2.31000,04-10-2010
2.40000,01-10-2010
2.43500,30-09-2010
2.45000,29-09-2010
2.44500,28-09-2010
2.45000,27-09-2010
2.40000,24-09-2010
2.42000,22-09-2010
2.48000,21-09-2010
2.44500,20-09-2010
2.41000,17-09-2010
2.46000,16-09-2010
2.49000,15-09-2010
2.57000,14-09-2010
2.41000,13-09-2010
2.39500,10-09-2010
2.36000,09-09-2010
2.36500,08-09-2010
2.34000,07-09-2010
2.37500,06-09-2010
2.36000,03-09-2010
2.36000,02-09-2010
2.26000,01-09-2010
2.23000,31-08-2010
2.23000,30-08-2010
2.19000,27-08-2010
2.18500,26-08-2010
2.21500,25-08-2010
2.23000,24-08-2010
2.29000,23-08-2010
2.35500,20-08-2010
2.38500,19-08-2010
2.43000,18-08-2010
2.43500,17-08-2010
2.41000,16-08-2010
2.41500,13-08-2010
2.45000,12-08-2010
2.45000,11-08-2010
2.56000,10-08-2010
2.64500,09-08-2010
2.62000,06-08-2010
2.64000,05-08-2010
2.70000,04-08-2010
2.70000,03-08-2010
2.69000,02-08-2010
2.62500,30-07-2010
2.65000,29-07-2010
2.69000,28-07-2010
2.71500,27-07-2010
2.57000,26-07-2010
2.52000,23-07-2010
2.56000,22-07-2010
2.49000,21-07-2010
2.50000,20-07-2010
2.53000,19-07-2010
2.52000,16-07-2010
2.54500,15-07-2010
2.58500,14-07-2010
2.61000,13-07-2010
2.53500,12-07-2010
2.54000,09-07-2010
2.60000,08-07-2010
2.50500,07-07-2010
2.53000,06-07-2010
2.50000,05-07-2010
2.49000,02-07-2010
2.43500,01-07-2010
2.58000,30-06-2010
2.51000,29-06-2010
2.63500,28-06-2010
2.59000,25-06-2010
2.63000,24-06-2010
2.70000,23-06-2010
2.71000,22-06-2010
2.57000,21-06-2010
2.54000,18-06-2010
2.51500,17-06-2010
2.50000,16-06-2010
