index,PRECIO,FECHA
208,1.92,2016-11-15
207,1.925,2016-11-16
206,1.93,2016-11-17
205,1.95,2016-11-18
204,1.98,2016-11-21
203,2.04,2016-11-22
202,2.1,2016-11-23
201,2.16,2016-11-24
200,2.17,2016-11-25
199,2.11,2016-11-28
198,2.16,2016-11-29
197,2.205,2016-11-30
63,2.51,2016-12-02
23,2.865,2016-12-04
1,2.4,2016-12-05
127,2.3,2016-12-07
104,2.22,2016-12-08
83,2.315,2016-12-09
254,2.315,2016-12-09
232,1.885,2016-12-10
189,2.28,2016-12-12
188,2.29,2016-12-13
187,2.36,2016-12-14
186,2.37,2016-12-15
185,2.445,2016-12-16
184,2.45,2016-12-19
183,2.435,2016-12-20
182,2.43,2016-12-21
181,2.39,2016-12-22
180,2.49,2016-12-23
179,2.475,2016-12-27
178,2.54,2016-12-28
177,2.51,2016-12-29
176,2.51,2016-12-30
322,2.495,2017-01-02
302,2.7,2017-01-03
409,3.525,2017-01-06
366,3.61,2017-01-08
343,3.7,2017-01-09
470,5.375,2017-01-11
448,5.53,2017-01-12
335,2.555,2017-01-13
334,2.51,2017-01-16
333,2.505,2017-01-17
332,2.485,2017-01-18
331,2.475,2017-01-19
330,2.48,2017-01-20
329,2.44,2017-01-23
328,2.44,2017-01-24
327,2.455,2017-01-25
326,2.5,2017-01-26
325,2.48,2017-01-27
324,2.46,2017-01-30
323,2.465,2017-01-31
175,2.53,2017-02-01
321,2.55,2017-02-02
301,2.72,2017-02-03
261,3.39,2017-02-05
408,3.475,2017-02-06
365,3.565,2017-02-08
492,4.37,2017-02-10
469,5.25,2017-02-11
314,2.565,2017-02-13
313,2.62,2017-02-14
312,2.65,2017-02-15
311,2.67,2017-02-16
310,2.62,2017-02-17
309,2.615,2017-02-20
308,2.59,2017-02-21
307,2.575,2017-02-22
306,2.57,2017-02-23
305,2.54,2017-02-24
304,2.565,2017-02-27
303,2.545,2017-02-28
174,2.55,2017-03-01
320,2.56,2017-03-02
300,2.725,2017-03-03
279,2.915,2017-03-04
260,3.31,2017-03-05
387,3.57,2017-03-07
364,3.535,2017-03-08
491,4.475,2017-03-10
468,5.25,2017-03-11
294,2.835,2017-03-13
293,2.85,2017-03-14
292,2.855,2017-03-15
291,2.9,2017-03-16
290,2.925,2017-03-17
289,2.94,2017-03-20
288,2.88,2017-03-21
287,2.84,2017-03-22
286,2.845,2017-03-23
285,2.84,2017-03-24
284,2.825,2017-03-27
283,2.86,2017-03-28
282,2.8,2017-03-29
281,2.87,2017-03-30
280,2.89,2017-03-31
173,2.515,2017-04-01
278,2.915,2017-04-04
259,3.39,2017-04-05
386,3.565,2017-04-07
363,3.655,2017-04-08
342,3.6,2017-04-09
490,4.38,2017-04-10
447,5.615,2017-04-12
271,3.06,2017-04-13
270,3.0,2017-04-18
269,3.05,2017-04-19
268,3.095,2017-04-20
267,3.1,2017-04-21
266,3.16,2017-04-24
265,3.18,2017-04-25
264,3.215,2017-04-26
263,3.2,2017-04-27
262,3.28,2017-04-28
172,2.5,2017-05-01
277,2.985,2017-05-04
258,3.41,2017-05-05
407,3.485,2017-05-06
385,3.62,2017-05-07
341,3.54,2017-05-09
489,4.425,2017-05-10
446,5.705,2017-05-12
422,3.45,2017-05-15
421,3.44,2017-05-16
420,3.295,2017-05-17
419,3.265,2017-05-18
418,3.28,2017-05-19
417,3.325,2017-05-22
416,3.42,2017-05-23
415,3.38,2017-05-24
414,3.42,2017-05-25
