PRECIO,FECHA
3.44000,10-05-2017
3.45000,09-05-2017
3.43500,08-05-2017
3.41000,05-05-2017
3.39000,04-05-2017
3.31000,03-05-2017
3.39000,02-05-2017
3.28000,28-04-2017
3.20000,27-04-2017
3.21500,26-04-2017
3.18000,25-04-2017
3.16000,24-04-2017
3.10000,21-04-2017
3.09500,20-04-2017
3.05000,19-04-2017
3.00000,18-04-2017
3.06000,13-04-2017
3.01500,12-04-2017
3.03500,11-04-2017
3.05500,10-04-2017
3.04000,07-04-2017
3.00000,06-04-2017
2.98500,05-04-2017
2.91500,04-04-2017
2.91500,03-04-2017
2.89000,31-03-2017
2.87000,30-03-2017
2.80000,29-03-2017
2.86000,28-03-2017
2.82500,27-03-2017
2.84000,24-03-2017
2.84500,23-03-2017
2.84000,22-03-2017
2.88000,21-03-2017
2.94000,20-03-2017
2.92500,17-03-2017
2.90000,16-03-2017
2.85500,15-03-2017
2.85000,14-03-2017
2.83500,13-03-2017
2.84500,10-03-2017
2.81500,09-03-2017
2.77500,08-03-2017
2.75000,07-03-2017
2.75500,06-03-2017
2.72500,03-03-2017
2.72000,02-03-2017
2.70000,01-03-2017
2.54500,28-02-2017
2.56500,27-02-2017
2.54000,24-02-2017
2.57000,23-02-2017
2.57500,22-02-2017
2.59000,21-02-2017
2.61500,20-02-2017
2.62000,17-02-2017
2.67000,16-02-2017
2.65000,15-02-2017
2.62000,14-02-2017
2.56500,13-02-2017
2.54500,10-02-2017
2.55000,09-02-2017
2.45000,08-02-2017
2.51000,07-02-2017
2.52000,06-02-2017
2.56000,03-02-2017
2.55000,02-02-2017
2.49500,01-02-2017
2.46500,31-01-2017
2.46000,30-01-2017
2.48000,27-01-2017
2.50000,26-01-2017
2.45500,25-01-2017
2.44000,24-01-2017
2.44000,23-01-2017
2.48000,20-01-2017
2.47500,19-01-2017
2.48500,18-01-2017
2.50500,17-01-2017
2.51000,16-01-2017
2.55500,13-01-2017
2.42500,12-01-2017
2.42000,11-01-2017
2.43000,10-01-2017
