PRECIO,FECHA
5.48500,31-12-2018
5.30000,28-12-2018
5.19000,27-12-2018
5.37000,24-12-2018
5.19500,21-12-2018
5.27500,20-12-2018
5.39500,19-12-2018
5.32500,18-12-2018
5.46000,17-12-2018
5.69000,14-12-2018
5.75500,13-12-2018
5.82000,12-12-2018
5.59500,11-12-2018
5.37000,10-12-2018
5.38000,07-12-2018
5.36500,06-12-2018
5.53500,05-12-2018
5.60000,04-12-2018
5.70000,03-12-2018
5.57000,30-11-2018
5.50000,29-11-2018
5.46000,28-11-2018
5.54000,27-11-2018
5.61000,26-11-2018
5.48000,23-11-2018
5.68500,22-11-2018
5.89000,21-11-2018
5.76000,20-11-2018
6.00000,19-11-2018
5.96500,16-11-2018
5.78000,15-11-2018
5.90000,14-11-2018
5.91500,13-11-2018
5.93000,12-11-2018
6.23000,09-11-2018
6.25000,08-11-2018
6.48500,07-11-2018
6.30000,06-11-2018
6.19500,05-11-2018
6.39500,02-11-2018
6.69000,01-11-2018
7.42500,31-10-2018
7.43000,30-10-2018
7.41000,29-10-2018
7.38000,26-10-2018
7.45000,25-10-2018
7.26500,24-10-2018
7.13000,23-10-2018
7.49500,22-10-2018
7.52000,19-10-2018
7.50000,18-10-2018
7.52500,17-10-2018
7.43500,16-10-2018
7.19000,15-10-2018
7.30000,12-10-2018
7.30000,11-10-2018
7.50000,10-10-2018
8.48500,09-10-2018
8.93000,08-10-2018
8.93500,05-10-2018
8.93500,04-10-2018
8.85000,03-10-2018
8.90000,02-10-2018
8.76000,01-10-2018
8.75000,28-09-2018
8.83000,27-09-2018
8.83000,26-09-2018
8.77500,25-09-2018
8.73500,24-09-2018
8.57000,21-09-2018
8.58000,20-09-2018
8.34000,19-09-2018
8.30000,18-09-2018
8.18000,17-09-2018
7.81000,14-09-2018
7.84000,13-09-2018
8.03500,12-09-2018
7.91000,11-09-2018
7.84500,10-09-2018
7.86000,07-09-2018
7.91000,06-09-2018
8.02000,05-09-2018
8.14000,04-09-2018
8.09000,03-09-2018
