PRECIO,FECHA
2.43000,10-01-2017
2.48000,09-01-2017
2.47000,06-01-2017
2.50000,05-01-2017
2.51500,04-01-2017
2.55000,03-01-2017
2.53000,02-01-2017
2.51000,30-12-2016
2.51000,29-12-2016
2.54000,28-12-2016
2.47500,27-12-2016
2.49000,23-12-2016
2.39000,22-12-2016
2.43000,21-12-2016
2.43500,20-12-2016
2.45000,19-12-2016
2.44500,16-12-2016
2.37000,15-12-2016
2.36000,14-12-2016
2.29000,13-12-2016
2.28000,12-12-2016
2.29000,09-12-2016
2.28000,08-12-2016
2.22000,07-12-2016
2.19000,06-12-2016
2.20000,05-12-2016
2.17000,02-12-2016
2.22000,01-12-2016
2.20500,30-11-2016
2.16000,29-11-2016
2.11000,28-11-2016
2.17000,25-11-2016
2.16000,24-11-2016
2.10000,23-11-2016
2.04000,22-11-2016
1.98000,21-11-2016
1.95000,18-11-2016
1.93000,17-11-2016
1.92500,16-11-2016
1.92000,15-11-2016
1.95500,14-11-2016
1.93000,11-11-2016
1.94500,10-11-2016
1.89500,09-11-2016
1.91500,08-11-2016
1.94000,07-11-2016
1.92000,04-11-2016
1.97500,03-11-2016
1.92000,02-11-2016
1.99000,01-11-2016
1.99000,31-10-2016
1.98500,28-10-2016
2.02000,27-10-2016
2.04500,26-10-2016
1.98500,25-10-2016
1.97500,24-10-2016
1.94000,21-10-2016
1.93000,20-10-2016
1.91500,19-10-2016
1.88500,18-10-2016
1.81000,17-10-2016
1.81000,14-10-2016
1.84500,13-10-2016
1.88500,12-10-2016
1.91000,11-10-2016
1.86500,10-10-2016
1.89000,07-10-2016
1.95500,06-10-2016
1.96000,05-10-2016
1.97000,04-10-2016
1.90000,03-10-2016
1.94000,30-09-2016
1.95500,29-09-2016
2.00000,28-09-2016
1.97000,27-09-2016
2.02500,26-09-2016
2.04500,23-09-2016
2.07000,22-09-2016
2.10500,21-09-2016
2.15000,20-09-2016
2.20000,19-09-2016
2.20000,16-09-2016
2.22000,15-09-2016
2.23500,14-09-2016
2.23500,13-09-2016
2.31500,12-09-2016
