PRECIO,FECHA
3.66000,07-09-2017
3.69500,06-09-2017
3.54000,05-09-2017
3.60000,04-09-2017
3.70000,01-09-2017
3.67500,31-08-2017
3.70000,30-08-2017
3.60500,29-08-2017
3.75000,28-08-2017
3.79500,25-08-2017
3.77000,24-08-2017
3.82500,23-08-2017
3.88500,22-08-2017
3.77000,21-08-2017
3.79000,18-08-2017
3.88500,17-08-2017
3.82000,16-08-2017
3.72500,15-08-2017
3.75000,14-08-2017
3.57500,11-08-2017
3.60000,10-08-2017
3.66000,09-08-2017
3.68500,08-08-2017
3.63500,07-08-2017
3.65500,04-08-2017
3.53500,03-08-2017
3.56500,02-08-2017
3.61000,01-08-2017
3.60000,31-07-2017
3.52000,28-07-2017
3.45000,27-07-2017
3.40500,26-07-2017
3.40500,25-07-2017
3.40000,24-07-2017
3.48000,21-07-2017
3.61500,20-07-2017
3.54500,19-07-2017
3.79000,18-07-2017
3.84000,17-07-2017
3.75000,14-07-2017
3.74500,13-07-2017
3.65500,12-07-2017
3.57000,11-07-2017
3.57000,10-07-2017
3.53500,07-07-2017
3.58000,06-07-2017
3.62000,05-07-2017
3.56500,04-07-2017
3.57000,03-07-2017
3.59000,30-06-2017
3.65500,29-06-2017
3.74500,28-06-2017
3.69500,27-06-2017
3.71500,26-06-2017
3.67000,23-06-2017
3.70500,22-06-2017
3.69500,21-06-2017
3.70000,20-06-2017
3.70000,19-06-2017
3.64500,16-06-2017
3.62000,15-06-2017
3.73500,14-06-2017
3.61000,13-06-2017
3.50500,12-06-2017
3.51500,09-06-2017
3.41500,08-06-2017
3.53000,07-06-2017
3.55000,06-06-2017
3.48500,05-06-2017
3.47500,02-06-2017
3.52500,01-06-2017
3.50500,31-05-2017
3.49000,30-05-2017
3.43500,29-05-2017
3.45000,26-05-2017
3.42000,25-05-2017
3.38000,24-05-2017
3.42000,23-05-2017
3.32500,22-05-2017
3.28000,19-05-2017
3.26500,18-05-2017
3.29500,17-05-2017
3.44000,16-05-2017
3.45000,15-05-2017
3.40500,12-05-2017
3.38500,11-05-2017
3.44000,10-05-2017
