PRECIO,FECHA
2.36000,13-05-2016
2.40000,12-05-2016
2.40500,11-05-2016
2.41000,10-05-2016
2.38000,09-05-2016
2.34000,06-05-2016
2.35500,05-05-2016
2.35000,04-05-2016
2.36500,03-05-2016
2.44500,02-05-2016
2.52000,29-04-2016
2.56000,28-04-2016
2.48500,27-04-2016
2.51000,26-04-2016
2.54500,25-04-2016
2.57000,22-04-2016
2.52000,21-04-2016
2.65500,20-04-2016
2.61000,19-04-2016
2.71500,18-04-2016
2.70500,15-04-2016
2.80000,14-04-2016
2.95500,13-04-2016
2.86500,12-04-2016
2.85000,11-04-2016
2.79500,08-04-2016
2.68000,07-04-2016
2.80500,06-04-2016
2.82000,05-04-2016
2.93500,04-04-2016
2.92500,01-04-2016
2.96500,31-03-2016
3.06000,30-03-2016
2.99500,29-03-2016
3.03000,24-03-2016
3.05500,23-03-2016
3.06000,22-03-2016
3.06000,21-03-2016
3.06000,18-03-2016
3.09000,17-03-2016
3.06000,16-03-2016
3.09000,15-03-2016
3.08000,14-03-2016
3.02000,11-03-2016
2.91000,10-03-2016
2.98500,09-03-2016
2.97500,08-03-2016
3.10500,07-03-2016
3.14000,04-03-2016
3.07500,03-03-2016
3.04500,02-03-2016
2.99000,01-03-2016
2.89000,29-02-2016
2.83000,26-02-2016
2.76500,25-02-2016
2.75000,24-02-2016
2.79000,23-02-2016
2.84000,22-02-2016
2.65000,19-02-2016
2.64500,18-02-2016
2.69000,17-02-2016
2.52000,16-02-2016
2.59000,15-02-2016
2.51000,12-02-2016
2.49000,11-02-2016
2.60000,10-02-2016
2.55000,09-02-2016
2.57000,08-02-2016
2.75000,05-02-2016
2.83000,04-02-2016
2.78000,03-02-2016
2.87500,02-02-2016
2.91000,01-02-2016
2.92000,29-01-2016
2.81000,28-01-2016
2.85000,27-01-2016
2.91000,26-01-2016
2.82000,25-01-2016
2.64500,22-01-2016
2.62000,21-01-2016
2.52000,20-01-2016
2.73000,19-01-2016
2.72000,18-01-2016
