PRECIO,FECHA
8.08500,31-08-2018
8.12500,30-08-2018
8.22500,29-08-2018
8.17500,28-08-2018
8.14000,27-08-2018
8.15000,24-08-2018
8.26000,23-08-2018
8.16000,22-08-2018
8.07500,21-08-2018
8.02000,20-08-2018
7.85500,17-08-2018
7.95000,16-08-2018
7.78500,15-08-2018
8.00000,14-08-2018
8.22500,13-08-2018
8.33000,10-08-2018
8.34500,09-08-2018
8.29500,08-08-2018
8.32000,07-08-2018
8.24000,06-08-2018
8.14500,03-08-2018
8.08000,02-08-2018
8.18000,01-08-2018
8.07000,31-07-2018
8.34000,30-07-2018
8.28500,27-07-2018
8.36000,26-07-2018
8.32000,25-07-2018
7.85000,24-07-2018
7.71000,23-07-2018
7.65500,20-07-2018
7.87000,19-07-2018
7.99500,18-07-2018
8.01000,17-07-2018
8.03500,16-07-2018
8.16000,13-07-2018
8.22500,12-07-2018
8.07000,11-07-2018
8.28500,10-07-2018
8.08500,09-07-2018
8.06500,06-07-2018
7.89000,05-07-2018
7.65500,04-07-2018
7.51000,03-07-2018
7.50000,02-07-2018
7.60000,29-06-2018
7.39500,28-06-2018
7.38000,27-06-2018
7.25000,26-06-2018
7.21000,25-06-2018
7.32000,22-06-2018
7.01500,21-06-2018
7.21500,20-06-2018
7.20000,19-06-2018
7.52500,18-06-2018
7.54000,15-06-2018
7.57500,14-06-2018
7.58500,13-06-2018
7.26000,12-06-2018
7.29000,11-06-2018
7.15000,08-06-2018
7.10500,07-06-2018
7.21500,06-06-2018
7.04000,05-06-2018
7.19500,04-06-2018
6.90000,01-06-2018
6.74000,31-05-2018
6.77000,30-05-2018
6.66500,29-05-2018
6.90000,28-05-2018
6.86500,25-05-2018
6.92000,24-05-2018
7.01000,23-05-2018
7.11000,22-05-2018
7.25500,21-05-2018
7.34000,18-05-2018
7.21500,17-05-2018
7.24500,16-05-2018
7.14500,15-05-2018
7.05500,14-05-2018
7.04500,11-05-2018
7.05000,10-05-2018
7.05500,09-05-2018
6.90000,08-05-2018
6.86000,07-05-2018
