PRECIO,FECHA
5.52000,05-01-2018
5.51000,04-01-2018
5.41500,03-01-2018
5.47000,02-01-2018
5.50000,29-12-2017
5.59000,28-12-2017
5.60500,27-12-2017
5.60000,22-12-2017
5.61000,21-12-2017
5.58500,20-12-2017
5.69500,19-12-2017
5.66000,18-12-2017
5.49500,15-12-2017
5.65500,14-12-2017
5.71500,13-12-2017
5.60500,12-12-2017
5.65000,11-12-2017
5.73500,08-12-2017
5.62000,07-12-2017
5.85000,06-12-2017
5.70500,05-12-2017
5.61500,04-12-2017
5.53000,01-12-2017
5.49000,30-11-2017
5.44000,29-11-2017
5.55500,28-11-2017
5.68500,27-11-2017
5.67500,24-11-2017
5.68000,23-11-2017
5.62000,22-11-2017
5.60500,21-11-2017
5.52500,20-11-2017
5.37000,17-11-2017
5.32500,16-11-2017
5.29500,15-11-2017
5.29500,14-11-2017
5.32500,13-11-2017
5.38500,10-11-2017
5.34500,09-11-2017
5.52000,08-11-2017
5.53000,07-11-2017
5.40000,06-11-2017
5.25000,03-11-2017
5.25000,02-11-2017
5.37500,01-11-2017
4.98000,31-10-2017
4.98000,30-10-2017
4.88500,27-10-2017
4.92000,26-10-2017
4.75000,25-10-2017
5.07000,24-10-2017
4.77500,23-10-2017
4.73000,20-10-2017
4.67500,19-10-2017
4.74500,18-10-2017
4.65500,17-10-2017
4.64500,16-10-2017
4.62500,13-10-2017
4.71500,12-10-2017
4.59500,11-10-2017
4.59000,10-10-2017
4.64000,09-10-2017
4.44000,06-10-2017
4.42500,05-10-2017
4.38000,04-10-2017
4.47500,03-10-2017
4.37000,02-10-2017
4.40000,29-09-2017
4.38500,28-09-2017
4.33500,27-09-2017
4.29000,26-09-2017
4.22000,25-09-2017
4.17000,22-09-2017
4.12500,21-09-2017
4.11000,20-09-2017
4.09500,19-09-2017
4.05000,18-09-2017
3.92500,15-09-2017
3.91000,14-09-2017
3.95000,13-09-2017
3.87000,12-09-2017
3.82500,11-09-2017
3.67000,08-09-2017
3.66000,07-09-2017
